axis,bucket,descriptor
race_ethnicity_color,asian,Asian
race_ethnicity_color,asian,Asian-American
race_ethnicity_color,asian,Desi
race_ethnicity_color,asian,East Asian
race_ethnicity_color,asian,Oriental
race_ethnicity_color,asian,South Asian
race_ethnicity_color,asian,Southeast Asian
race_ethnicity_color,black,African
race_ethnicity_color,black,African-American
race_ethnicity_color,black,Black
race_ethnicity_color,latinx,Hispanic
race_ethnicity_color,latinx,Latin
race_ethnicity_color,latinx,Latinx
race_ethnicity_color,latinx,Latine
race_ethnicity_color,latinx,Latina
race_ethnicity_color,latinx,Latino
race_ethnicity_color,latinx,Latin American
race_ethnicity_color,indigenous,Aboriginal
race_ethnicity_color,indigenous,Indigenous
race_ethnicity_color,indigenous,Native American
race_ethnicity_color,indigenous,American Indian
race_ethnicity_color,native_hawaiian,Native Hawaiian
race_ethnicity_color,pacific_islander,Pacific Islander
race_ethnicity_color,white,European
race_ethnicity_color,white,European-American
race_ethnicity_color,white,Middle Eastern
race_ethnicity_color,white,white
race_ethnicity_color,white,Caucasian
race_ethnicity_color,white,Arab
race_ethnicity_color,combined,AAPI
race_ethnicity_color,combined,BIPOC
religion,all,agnostic
religion,all,Amish
religion,all,Ashkenazi Jewish
religion,all,atheist
religion,all,Bahá'í
religion,all,born-again
religion,all,Buddhist
religion,all,Catholic
religion,all,Cheondoist
religion,all,Christian
religion,all,Confucianist
religion,all,Conservative Jewish
religion,all,Druze
religion,all,Evangelical
religion,all,Hasidic
religion,all,Hindu
religion,all,humanist
religion,all,irreligious
religion,all,Jain
religion,all,Jehovah's Witness
religion,all,Jewish
religion,all,Lutheran
religion,all,Methodist
religion,all,Mormon
religion,all,Muslim
religion,all,Orthodox Jewish
religion,all,Pagan
religion,all,Protestant
religion,all,Rasta
religion,all,Rastafari
religion,all,Rastafarian
religion,all,Reform Jewish
religion,all,religious
religion,all,Roman Catholic
religion,all,secular
religion,all,Satanist
religion,all,Scientologist
religion,all,Sephardic Jewish
religion,all,Seventh-Day Adventist
religion,all,Shia
religion,all,Shintoist
religion,all,Sikh
religion,all,spiritual
religion,all,Spiritualist
religion,all,Sunni
religion,all,Taoist
religion,all,Wiccan
religion,all,Unitarian
religion,all,Zoroastrian
sexuality,asexual_or_aromantic,asexual
sexuality,asexual_or_aromantic,ace
sexuality,asexual_or_aromantic,aromantic
sexuality,bi,bi
sexuality,bi,bisexual
sexuality,demisexual,demisexual
sexuality,gay,gay
sexuality,gay,homosexual
sexuality,lesbian,lesbian
sexuality,pansexual,pan
sexuality,pansexual,pansexual
sexuality,polyamorous,polyamorous
sexuality,polyamorous,poly
sexuality,queer,LGBT
sexuality,queer,LGBTQ
sexuality,queer,LGBTQ+
sexuality,queer,queer
sexuality,straight,straight
sexuality,straight,hetero
sexuality,straight,heterosexual
socioeconomic,upper_class,affluent
socioeconomic,upper_class,financially well-off
socioeconomic,upper_class,high-net-worth
socioeconomic,upper_class,moneyed
socioeconomic,upper_class,rich
socioeconomic,upper_class,one-percenter
socioeconomic,upper_class,upper-class
socioeconomic,upper_class,wealthy
socioeconomic,upper_class,well-to-do
socioeconomic,upper_class,well-off
socioeconomic,middle_class,middle-class
socioeconomic,working_class,working-class
socioeconomic,below_poverty_line,poor
socioeconomic,below_poverty_line,broke
socioeconomic,below_poverty_line,low-income
socioeconomic,educational_attainment,high-school-dropout
socioeconomic,educational_attainment,college-graduate
