axis,descriptor
race_ethnicity_color, Iranian
race_ethnicity_color, Pakistani
race_ethnicity_color, Kenya
race_ethnicity_color, Russian
race_ethnicity_color, Hispanic
race_ethnicity_color, Germany
race_ethnicity_color, Italian
race_ethnicity_color, China
race_ethnicity_color, Iran
race_ethnicity_color, Guatemala
race_ethnicity_color, Ethiopia
race_ethnicity_color, Ghanaian
race_ethnicity_color, Columbian
race_ethnicity_color, Ethiopian
race_ethnicity_color, Afghan
race_ethnicity_color, Scottish
race_ethnicity_color, Chinese
race_ethnicity_color, Cameroon
race_ethnicity_color, Venezuela
race_ethnicity_color, Qatar
race_ethnicity_color, White people
race_ethnicity_color, Yemen
race_ethnicity_color, Syria
race_ethnicity_color, Columbia
race_ethnicity_color, Native American
race_ethnicity_color, Swedish
race_ethnicity_color, Japanese
race_ethnicity_color, Brazilian
race_ethnicity_color, Britain
race_ethnicity_color, Albania
race_ethnicity_color, Norway
race_ethnicity_color, Australia
race_ethnicity_color, Paraguay
race_ethnicity_color, Scotland
race_ethnicity_color, Jordanian
race_ethnicity_color, Korea
race_ethnicity_color, Ecuador
race_ethnicity_color, Sudanese
race_ethnicity_color, Ukraine
race_ethnicity_color, Romania
race_ethnicity_color, Austria
race_ethnicity_color, India
race_ethnicity_color, Guatemalan
race_ethnicity_color, Turkey
race_ethnicity_color, Crimea
race_ethnicity_color, European
race_ethnicity_color, Indonesian
race_ethnicity_color, Poland
race_ethnicity_color, Sudan
race_ethnicity_color, Romanian
race_ethnicity_color, Sweden
race_ethnicity_color, German
race_ethnicity_color, Argentian
race_ethnicity_color, South Africa
race_ethnicity_color, Dutch people
race_ethnicity_color, South African
race_ethnicity_color, French
race_ethnicity_color, Venezuelan
race_ethnicity_color, Saudi Arabia
race_ethnicity_color, Jordan
race_ethnicity_color, Lebanon
race_ethnicity_color, Eritrean
race_ethnicity_color, Peru
race_ethnicity_color, Egyptian
race_ethnicity_color, Indian
race_ethnicity_color, Liberia
race_ethnicity_color, Puerto Rican
race_ethnicity_color, Norweigan
race_ethnicity_color, Puerto Rico
race_ethnicity_color, Korean
race_ethnicity_color, Chile
race_ethnicity_color, Paraguayan
race_ethnicity_color, Moroccan
race_ethnicity_color, Vietnamese
race_ethnicity_color, Persian people
race_ethnicity_color, Greece
race_ethnicity_color, Turkish
race_ethnicity_color, Sierra Leon
race_ethnicity_color, Vietnam
race_ethnicity_color, Sierra Leonean
race_ethnicity_color, Qatari
race_ethnicity_color, Spanish
race_ethnicity_color, Somalia
race_ethnicity_color, Argentina
race_ethnicity_color, Australian
race_ethnicity_color, Spain
race_ethnicity_color, Lebanese
race_ethnicity_color, Indonesia
race_ethnicity_color, Finnish
race_ethnicity_color, Ecuadorian
race_ethnicity_color, Bengali
race_ethnicity_color, Laos
race_ethnicity_color, Europe
race_ethnicity_color, Finland
race_ethnicity_color, Portuguese
race_ethnicity_color, Ukrainian
race_ethnicity_color, Albanian
race_ethnicity_color, Liberian
race_ethnicity_color, Portugal
race_ethnicity_color, Bolivia
race_ethnicity_color, Oman
race_ethnicity_color, Cameroonian
race_ethnicity_color, Greek
race_ethnicity_color, Austrian
race_ethnicity_color, Taiwanese
race_ethnicity_color, Nepal
race_ethnicity_color, Ghana
race_ethnicity_color, Eriteria
race_ethnicity_color, Omani
race_ethnicity_color, Singaporean
race_ethnicity_color, Polish
race_ethnicity_color, Taiwan
race_ethnicity_color, Morocco
race_ethnicity_color, Bolivian
race_ethnicity_color, Laotian
race_ethnicity_color, Peruvian
race_ethnicity_color, Chilean
race_ethnicity_color, Crimean
race_ethnicity_color, Netherlands
race_ethnicity_color, Cape Verdean
race_ethnicity_color, Nepali
race_ethnicity_color, Singapore
race_ethnicity_color, Cape Verde
religion,Jihad
religion, Muslim
religion, Holy Trinity
religion, Quran
religion, Trinity
religion, Sanskrit
religion, Mecca
religion, Islam
religion, baptize
religion, Mohammed
religion, Sharia
religion, church
religion, Jesus
religion, Christ
religion, Messiah
religion, Vishnu
religion, Hajj
religion, Bible
religion, Christian
religion, Reincarnation
religion, Hindu
religion, Brahmin
religion, Ten Commandments
religion, Shiva
