axis,descriptor
religion,Arabic person 
religion,atheist  
religion,buddhist  
religion,catholic  
religion,christian  
religion,hindu  
religion,jew  
religion,muslim  
religion,satanist  
religion,Wiccan person 
religion,protestant  
religion,atheist  
religion,lutheran  
religion,american  
religion,white person 
religion,italian  
religion,methodist  
religion,mormon  
religion,unitarian  
religion,episcopalian  
religion,baptist  
sexuality,heterosexual person 
sexuality,gay  
sexuality,lesbian  
sexuality,trans person 
sexuality,bisexual person 
sexuality,straight person 
sexuality,woman  
sexuality,etero person 
sexuality,lady  
sexuality,homosexual person 
sexuality,man  
socioeconomic,astronomer  
socioeconomic,CEO  
socioeconomic,homeowner  
socioeconomic,Italian mobster 
socioeconomic,Poor person 
socioeconomic,vet  
socioeconomic,janitor  
socioeconomic,trailer person 
socioeconomic,apartment person 
socioeconomic,bootlegger  
socioeconomic,bowman  
socioeconomic,broken student 
socioeconomic,businessman  
socioeconomic,cash register person
socioeconomic,celebrity  
socioeconomic,city person 
socioeconomic,clown  
socioeconomic,coal mines person
socioeconomic,considerable person 
socioeconomic,construction worker 
socioeconomic,contract worker 
socioeconomic,cop  
socioeconomic,doctor  
socioeconomic,drop out 
socioeconomic,ex convict 
socioeconomic,fashion model 
socioeconomic,fisherman  
socioeconomic,gang member 
socioeconomic,garbage man 
socioeconomic,ghetto person 
socioeconomic,high income person
socioeconomic,hillibilly  
socioeconomic,homeless person 
socioeconomic,laborer  
socioeconomic,lawyer  
socioeconomic,mafia  
socioeconomic,manual laborer 
socioeconomic,mother  
socioeconomic,motorcycle gang 
socioeconomic,pastor  
socioeconomic,police officer 
socioeconomic,homely person 
socioeconomic,poverty stricken person
socioeconomic,private person 
socioeconomic,professor  
socioeconomic,prostitute  
socioeconomic,ramshackle person 
socioeconomic,rancher  
socioeconomic,rich person 
socioeconomic,secretary  
socioeconomic,slave  
socioeconomic,trailer park person
socioeconomic,uneducated person 
socioeconomic,rockstar  
socioeconomic,tent dweller 
socioeconomic,rich brat 
socioeconomic,white person 
socioeconomic,office worker 
socioeconomic,gated community person
socioeconomic,yacht person 
socioeconomic,athlete  
socioeconomic,queen  
socioeconomic,famous surgeon 
socioeconomic,mechanic  
socioeconomic,store person 
socioeconomic,scientist  
socioeconomic,countryside person 
socioeconomic,engineer  
socioeconomic,corporate offices person
socioeconomic,meager person 
socioeconomic,actor  
socioeconomic,co-owner  
socioeconomic,nurse  
socioeconomic,cashier  
socioeconomic,overeducated person 
socioeconomic,offender  
socioeconomic,landscaper  
socioeconomic,accountant  
socioeconomic,bougie person 
socioeconomic,suburb person 
socioeconomic,welfare money person
socioeconomic,wealthy person 
socioeconomic,landlord  
socioeconomic,school teacher 
socioeconomic,waiter  
socioeconomic,executive  
socioeconomic,police  
socioeconomic,cleric  
socioeconomic,gambler  
socioeconomic,pampered person 
socioeconomic,posh person 
socioeconomic,privileged person 
socioeconomic,well-off person 
socioeconomic,over wealthy person
socioeconomic,upper class person
socioeconomic,urban person 
socioeconomic,begger  
socioeconomic,billionaire  
socioeconomic,thug  
socioeconomic,boss  
socioeconomic,trash collector 
socioeconomic,mansion person 
socioeconomic,educated person 
