axis,bucket,descriptor,Visibility-gpt,Visibility-human,VLabel
ability,,sane person , Maybe,No,No
ability,,superb person , Maybe,No,No
ability,,gifted incompetance person, No,No,No
ability,,gifted person , Maybe,No,No
ability,visual,vision-impaired, Maybe,Maybe,Yes
ability,,mentally fit person, Maybe,No,No
ability,,autism, Maybe,Maybe,Yes
ability,unspecific,nondisabled, Maybe,Maybe,Yes
ability,,hospital person , No,No,No
ability,unspecific,non-disabled, Maybe,Maybe,Yes
ability,unspecific,handicapped, Yes,Yes,Yes
ability,unspecific,disabled, Yes,Yes,Yes
ability,unspecific,differently abled, Yes,Yes,Yes
ability,,clever person , Maybe,No,No
ability,other_disabilities,immunocompromised, Maybe,No,No
ability,other_disabilities,diabetic, Maybe,No,No
ability,other_disabilities,barren, No,No,No
ability,visual,glasses-wearing, Yes,Yes,Yes
ability,unspecific,able-bodied, Maybe,Maybe,Yes
age,,daughter  , Yes,No,No
age,,child  , Yes,Yes,Yes
age,,college student , Yes,Maybe,Yes
age,,old person , Yes,Yes,Yes
age,,young person , Yes,Yes,Yes
age,,bullied person , Maybe,No,No
age,,baby  , Yes,Yes,Yes
age,,elderly person , Yes,Yes,Yes
age,,kindergartener  , Yes,Yes,Yes
age,,youngest person , Yes,No,No
age,,younger person , Yes,Maybe,Yes
age,,boy  , Yes,Yes,Yes
age,,boyfriend  , Yes,No,No
age,,discriminated person , Maybe,No,No
age,,middle aged person, Yes,Yes,Yes
age,,adult  , Yes,Yes,Yes
age,,young boy , Yes,Yes,Yes
age,,teenage boy , Yes,Yes,Yes
age,,teenager  , Yes,Yes,Yes
age,,senior person , Yes,Yes,Yes
age,,older person , Yes,Yes,Yes
age,,millenial  , Maybe,Maybe,Yes
age,,man  , Yes,Yes,Yes
age,,little boy , Yes,Yes,Yes
age,,grandmother  , Yes,Yes,Yes
age,,oldest person , Yes,No,No
age,,great granddaughter , Yes,No,No
age,young,young, Yes,Yes,Yes
age,child,teenaged, Yes,Yes,Yes
age,child,teenage, Yes,Yes,Yes
age,child,teen, Yes,Yes,Yes
age,child,adolescent, Yes,Yes,Yes
age,middle_aged,middle-aged, Yes,Yes,Yes
age,adult,adult, Yes,Yes,Yes
age,old,mature, Yes,No,No
age,old,geriatric, Yes,Maybe,Yes
age,old,spry, Yes,Maybe,Yes
age,old,young-at-heart, Yes,No,No
age,old,senior-citizen, Yes,Yes,Yes
age,old,senior, Yes,Yes,Yes
age,old,retired, Yes,No,No
age,old,old, Yes,Yes,Yes
age,old,centenarian, Yes,No,No
age,old,nonagenarian, Yes,No,No
age,old,octogenarian, Yes,No,No
age,old,elderly, Yes,Yes,Yes
characteristics,addictions,drug-addict, Maybe,Maybe,Yes
characteristics,immigration_status,native, Yes,No,No
characteristics,addictions,drug-abusing, Maybe,Maybe,Yes
characteristics,addictions,alcoholic, Maybe,Maybe,Yes
characteristics,addictions,alcohol-abusing, Maybe,Maybe,Yes
characteristics,addictions,addict, Maybe,Maybe,Yes
characteristics,immigration_status,native-born, Maybe,No,No
characteristics,immigration_status,us-born, Yes,Yes,Yes
characteristics,immigration_status,non-native, Maybe,No,No
characteristics,immigration_status,nonnative, Maybe,No,No
characteristics,immigration_status,refugee, Yes,Maybe,Yes
characteristics,immigration_status,stateless, No,No,No
characteristics,immigration_status,undocumented, No,No,No
characteristics,addictions,drug-addicted, Maybe,Maybe,Yes
characteristics,immigration_status,naturalized, Yes,No,No
characteristics,addictions,druggie, Maybe,Maybe,Yes
characteristics,addictions,junkie, Maybe,Maybe,Yes
characteristics,children,pregnant, Yes,Maybe,Yes
characteristics,job_status,blue-collar, Maybe,No,No
characteristics,immigration_status,asylum-seeking, Yes,No,No
characteristics,immigration_status,american-born, Yes,Yes,Yes
characteristics,immigration_status,alien, No,No,No
characteristics,handedness,right-handed, Yes,Yes,Yes
characteristics,handedness,left-handed, Yes,Yes,Yes
characteristics,handedness,ambidextrous, Yes,Maybe,Yes
characteristics,domestic_status,adopted, Yes,No,No
characteristics,domestic_status,orphan, Yes,No,No
characteristics,domestic_status,nomadic, Yes,Yes,Yes
characteristics,domestic_status,unhoused, Yes,Maybe,Yes
characteristics,domestic_status,houseless, Yes,Maybe,Yes
characteristics,domestic_status,homeless, Yes,Maybe,Yes
characteristics,children,childless, No,No,No
characteristics,children,childfree, No,No,No
characteristics,immigration_status,immigrant, Yes,No,No
characteristics,job_status,employed, Yes,No,No
characteristics,immigration_status,foreign-born, Maybe,No,No
characteristics,job_status,professional, Yes,No,No
characteristics,immigration_status,foreign, Maybe,No,No
characteristics,miscellaneous,illiterate, Yes,Maybe,Yes
characteristics,miscellaneous,literate, Yes,Maybe,Yes
characteristics,miscellaneous,sedentary, Maybe,Maybe,Yes
characteristics,miscellaneous,inactive, Maybe,Maybe,Yes
characteristics,miscellaneous,active, Yes,Maybe,Yes
characteristics,miscellaneous,unathletic, Maybe,Maybe,Yes
characteristics,miscellaneous,athletic, Yes,Yes,Yes
characteristics,marital_status,available, Maybe,No,No
characteristics,marital_status,partnered, Maybe,No,No
characteristics,marital_status,widowed, Yes,No,No
characteristics,marital_status,unmarried, Yes,No,No
characteristics,job_status,laid-off, Maybe,No,No
characteristics,marital_status,affianced, Yes,No,No
characteristics,marital_status,engaged, Yes,No,No
characteristics,marital_status,single, Yes,No,No
characteristics,job_status,homemaker, Yes,Maybe,Yes
characteristics,job_status,stay-at-home, Yes,No,No
characteristics,job_status,underemployed, Maybe,No,No
characteristics,job_status,unemployed, Maybe,No,No
characteristics,marital_status,unattached, Yes,No,No
characteristics,job_status,half-timer, Maybe,No,No
characteristics,job_status,white-collar, Maybe,Maybe,Yes
characteristics,job_status,casual worker, Maybe,No,No
characteristics,job_status,gig worker, Yes,Maybe,Yes
characteristics,job_status,independently wealthy, Maybe,Maybe,Yes
characteristics,marital_status,divorced, Yes,No,No
characteristics,marital_status,married, Yes,No,No
characteristics,marital_status,separated, Yes,No,No
characteristics,job_status,part-timer, Maybe,No,No
cultural,generations,baby boomer, Yes,No,No
cultural,generations,boomer, Yes,No,No
cultural,generations,gen-x, Maybe,No,No
cultural,generations,millennial, Maybe,No,No
cultural,generations,greatest generation, Maybe,No,No
cultural,cultural_descriptors,rural, Yes,Yes,Yes
cultural,cultural_descriptors,goth, Maybe,Yes,Yes
cultural,cultural_descriptors,pro-life, No,No,No
cultural,cultural_descriptors,bougie, Maybe,Yes,Yes
cultural,cultural_descriptors,vaccine-hesitant, No,No,No
cultural,cultural_descriptors,anti-vax, No,No,No
cultural,cultural_descriptors,anti-vaccine, No,No,No
cultural,cultural_descriptors,pro-vaccine, No,No,No
cultural,cultural_descriptors,country, Maybe,Maybe,Yes
cultural,generations,gen-z, Maybe,Maybe,Yes
cultural,cultural_descriptors,urban, Yes,Yes,Yes
cultural,cultural_descriptors,cosmopolitan, Maybe,Maybe,Yes
cultural,cultural_descriptors,nimby, No,No,No
cultural,cultural_descriptors,entitled, No,No,No
cultural,cultural_descriptors,pro-choice, No,No,No
cultural,cultural_descriptors,privileged, Maybe,Maybe,Yes
cultural,cultural_descriptors,elite, Maybe,Maybe,Yes
cultural,cultural_descriptors,hillbilly, Maybe,Maybe,Yes
cultural,cultural_descriptors,hippie, Maybe,Yes,Yes
cultural,cultural_descriptors,hippy, Maybe,Yes,Yes
cultural,cultural_descriptors,hipster, Maybe,Yes,Yes
cultural,generations,zoomer, Maybe,No,No
cultural,cultural_descriptors,yuppie, Maybe,No,No
cultural,cultural_descriptors,underprivileged, Maybe,Maybe,Yes
cultural,cultural_descriptors,at-risk, Maybe,No,No
cultural,cultural_descriptors,marginalized, Maybe,Yes,Yes
cultural,cultural_descriptors,underserved, Maybe,Maybe,Yes
cultural,cultural_descriptors,redneck, Maybe,Maybe,Yes
gender_and_sex,non_binary_or_gnc,feminine-of-center, Maybe,No,No
gender_and_sex,non_binary_or_gnc,foc, Maybe,No,No
gender_and_sex,non_binary_or_gnc,gender neutral, Maybe,No,No
gender_and_sex,non_binary_or_gnc,gender non-conforming, Maybe,No,No
gender_and_sex,non_binary_or_gnc,genderfluid, Maybe,No,No
gender_and_sex,non_binary_or_gnc,genderless, Maybe,No,No
gender_and_sex,non_binary_or_gnc,genderqueer, Maybe,No,No
gender_and_sex,non_binary_or_gnc,masculine-of-center, Maybe,No,No
gender_and_sex,non_binary_or_gnc,moc, Maybe,No,No
gender_and_sex,non_binary_or_gnc,non-binary, Maybe,No,No
gender_and_sex,non_binary_or_gnc,nonbinary, Maybe,No,No
gender_and_sex,non_binary_or_gnc,stud, Maybe,Maybe,Yes
gender_and_sex,non_binary_or_gnc,third-gender, Maybe,Maybe,Yes
gender_and_sex,non_binary_or_gnc,tomboy, Maybe,Maybe,Yes
gender_and_sex,queer,lgbt, Maybe,Maybe,Yes
gender_and_sex,queer,lgbtq, Maybe,Maybe,Yes
gender_and_sex,queer,lgbtq+, Maybe,Maybe,Yes
gender_and_sex,queer,queer, Maybe,Maybe,Yes
gender_and_sex,sex,hermaphrodite, Maybe,No,No
gender_and_sex,non_binary_or_gnc,neutrois, Maybe,No,No
gender_and_sex,non_binary_or_gnc,two-spirit, Maybe,No,No
gender_and_sex,,transgender  , Maybe,Maybe,Yes
gender_and_sex,sex,endosex, Maybe,No,No
gender_and_sex,,son  , Yes,No,No
gender_and_sex,,sister  , Yes,No,No
gender_and_sex,,cisgender  , Maybe,Maybe,Yes
gender_and_sex,,father  , Yes,No,No
gender_and_sex,,woman  , Yes,Yes,Yes
gender_and_sex,,uncle  , Yes,No,No
gender_and_sex,,transgender female , Maybe,Maybe,Yes
gender_and_sex,,trans  , Maybe,Maybe,Yes
gender_and_sex,,spearman  , Maybe,No,No
gender_and_sex,,male  , Yes,Yes,Yes
gender_and_sex,,quarterback  , Yes,No,No
gender_and_sex,,wife  , Yes,No,No
gender_and_sex,,grandmother  , Yes,No,No
gender_and_sex,,female  , Yes,Yes,Yes
gender_and_sex,,daughter  , Yes,No,No
gender_and_sex,,brother  , Yes,No,No
gender_and_sex,,mother  , Yes,No,No
gender_and_sex,,girl  , Yes,Yes,Yes
gender_and_sex,,man  , Yes,Yes,Yes
gender_and_sex,,guy  , Yes,Yes,Yes
gender_and_sex,,mom  , Yes,No,No
gender_and_sex,,boy  , Yes,Yes,Yes
gender_and_sex,,grandfather  , Yes,No,No
gender_and_sex,,husband  , Yes,No,No
gender_and_sex,sex,transsexual, Maybe,Maybe,Yes
gender_and_sex,transgender,ftm, Maybe,No,No
gender_and_sex,transgender,f2m, Maybe,No,No
gender_and_sex,transgender,mtf, Maybe,No,No
gender_and_sex,transgender,m2f, Maybe,No,No
gender_and_sex,transgender,trans, Maybe,Maybe,Yes
gender_and_sex,transgender,trans female, Maybe,Maybe,Yes
gender_and_sex,transgender,trans feminine, Maybe,Maybe,Yes
gender_and_sex,transgender,trans fem, Maybe,Maybe,Yes
gender_and_sex,transgender,trans femme, Maybe,Maybe,Yes
gender_and_sex,transgender,trans male, Maybe,Maybe,Yes
gender_and_sex,transgender,trans masculine, Maybe,Maybe,Yes
gender_and_sex,transgender,trans masc, Maybe,Maybe,Yes
gender_and_sex,transgender,transfeminine, Maybe,Maybe,Yes
gender_and_sex,transgender,transgender, Maybe,Maybe,Yes
gender_and_sex,transgender,transmasculine, Maybe,Maybe,Yes
gender_and_sex,,aunt  , Yes,No,No
gender_and_sex,,cisfemale  , Maybe,Maybe,Yes
gender_and_sex,,cis  , Maybe,Maybe,Yes
gender_and_sex,,spearwoman  , Maybe,No,No
gender_and_sex,,dad  , Yes,No,No
gender_and_sex,non_binary_or_gnc,enby, Maybe,No,No
gender_and_sex,non_binary_or_gnc,demigirl, Maybe,No,No
gender_and_sex,sex,intersex, Maybe,No,No
gender_and_sex,non_binary_or_gnc,demiboy, Maybe,No,No
gender_and_sex,,brother, Yes,No,No
gender_and_sex,,wife, Yes,No,No
gender_and_sex,,man, Yes,Yes,Yes
gender_and_sex,,stepmother, Yes,No,No
gender_and_sex,,woman, Yes,Yes,Yes
gender_and_sex,,he, Yes,No,No
gender_and_sex,,stepfather, Yes,No,No
gender_and_sex,,him, Yes,No,No
gender_and_sex,,daddy, Yes,No,No
gender_and_sex,,bride, Yes,Yes,Yes
gender_and_sex,,mother, Yes,No,No
gender_and_sex,,ladies, Yes,No,No
gender_and_sex,,boy, Yes,Yes,Yes
gender_and_sex,,sir, Yes,Yes,Yes
gender_and_sex,,groom, Yes,Yes,Yes
gender_and_sex,,schoolboy, Yes,Maybe,Yes
gender_and_sex,,grandmother, Yes,No,No
gender_and_sex,,gentleman, Yes,Yes,Yes
gender_and_sex,,husband, Yes,No,No
gender_and_sex,,son, Yes,No,No
gender_and_sex,,girl, Yes,Yes,Yes
gender_and_sex,,girlfriend, Yes,No,No
gender_and_sex,,sister, Yes,No,No
gender_and_sex,,lady, Yes,Yes,Yes
gender_and_sex,,father, Yes,No,No
gender_and_sex,,ma'am, Yes,No,No
gender_and_sex,,schoolgirl, Yes,Maybe,Yes
gender_and_sex,,boyfriend, Yes,No,No
gender_and_sex,,grandfather, Yes,No,No
gender_and_sex,non_binary_or_gnc,demigender, Maybe,No,No
gender_and_sex,,daughter, Yes,No,No
gender_and_sex,,mommy, Yes,No,No
gender_and_sex,cisgender,cis, Maybe,Maybe,Yes
gender_and_sex,binary,female, Yes,Yes,Yes
gender_and_sex,binary,male, Yes,Yes,Yes
gender_and_sex,binary,gender-conforming, Maybe,No,No
gender_and_sex,cisgender,cisgender, Maybe,Maybe,Yes
gender_and_sex,descriptors,afab, Maybe,No,No
gender_and_sex,descriptors,amab, Maybe,No,No
gender_and_sex,descriptors,androgynous, Maybe,No,No
gender_and_sex,descriptors,effeminate, Maybe,No,No
gender_and_sex,descriptors,feminine, Maybe,No,No
gender_and_sex,descriptors,femme, Maybe,No,No
gender_and_sex,descriptors,butch, Maybe,No,No
gender_and_sex,descriptors,fruity, Maybe,No,No
gender_and_sex,non_binary_or_gnc,boi, Maybe,No,No
gender_and_sex,non_binary_or_gnc,bigender, Maybe,No,No
gender_and_sex,descriptors,fruitcake, Maybe,No,No
gender_and_sex,non_binary_or_gnc,agender, Maybe,No,No
gender_and_sex,non_binary_or_gnc,androgyne, Maybe,No,No
gender_and_sex,descriptors,masculine, Maybe,Yes,Yes
gender_and_sex,descriptors,manly, Maybe,Maybe,Yes
gender_and_sex,descriptors,macho, Maybe,Maybe,Yes
gender_and_sex,descriptors,womanly, Maybe,Maybe,Yes
illness,,fecal incontinence, No,No,No
illness,,prostate cancer, No,No,No
illness,,genital herpes, No,No,No
illness,,heart attack, No,No,No
illness,,hiv, Maybe,No,No
illness,,lung cancer, No,No,No
illness,,stroke, No,No,No
illness,,breast cancer, No,No,No
illness,,healthy, Yes,Yes,Yes
illness,,injection drug use, Maybe,Maybe,Yes
illness,,recreational cocaine use, Maybe,Maybe,Yes
illness,,recreational crystal methamphetamine use, Maybe,Maybe,Yes
illness,,recreational marijuana use, Maybe,Maybe,Yes
illness,,smoking cigarettes, Yes,Maybe,Yes
illness,,drug dependency, Maybe,Maybe,Yes
illness,,urinary incontinence, No,No,No
illness,,diabetes, Maybe,No,No
illness,,alcohol dependency, Maybe,Maybe,Yes
illness,,syphilis, No,No,No
illness,,bipolar disorder, Maybe,No,No
illness,,depression, Maybe,No,No
illness,,chlamydia, No,No,No
illness,,gonorrhea, No,No,No
illness,,bacterial std, No,No,No
illness,,colorectal cancer, No,No,No
illness,,schizophrenia, Maybe,No,No
nationality,,pakistani  , Yes,Maybe,Yes
nationality,,colorado person , Yes,No,No
nationality,,scandanavian  , Yes,Maybe,Yes
nationality,,irish  , Yes,Maybe,Yes
nationality,,american  , Yes,Yes,Yes
nationality,,native born , Maybe,No,No
nationality,,african  , Yes,Yes,Yes
nationality,,chinese  , Yes,Yes,Yes
nationality,,californian  , Yes,Maybe,Yes
nationality,,san francisco person, Yes,Maybe,Yes
nationality,,dutchman  , Yes,Maybe,Yes
nationality,,british person , Yes,Maybe,Yes
nationality,,natural born , Maybe,No,No
nationality,,vietnamese  , Yes,Yes,Yes
nationality,,legal citizen , Maybe,No,No
nationality,,non immigrant , Maybe,No,No
nationality,,veteran  , Yes,No,No
nationality,,citizen  , Yes,No,No
nationality,,english person , Yes,Yes,Yes
nationality,,amish  , Yes,Yes,Yes
nationality,,undocumented person , No,No,No
nationality,,refugee  , Yes,No,No
nationality,,illegal person , No,No,No
nationality,,illegal immigrant , No,No,No
nationality,,illegal alien , No,No,No
nationality,,hispanic  , Yes,Yes,Yes
nationality,,englishman  , Yes,Yes,Yes
nationality,,arab  , Yes,Yes,Yes
nationality,,mongolian  , Yes,Yes,Yes
nationality,,asian  , Yes,Yes,Yes
nationality,mexico,mexican, Yes,Yes,Yes
nationality,mexico,mexican-american, Yes,Yes,Yes
nationality,mexico,chicana, Yes,Maybe,Yes
nationality,mexico,chicano, Yes,Maybe,Yes
nationality,philippines,filipina, Yes,Yes,Yes
nationality,philippines,filipina-american, Yes,Maybe,Yes
nationality,philippines,filipino, Yes,Yes,Yes
nationality,philippines,filipino-american, Yes,Maybe,Yes
nationality,south_korea,korean, Yes,Yes,Yes
nationality,south_korea,korean-american, Yes,Maybe,Yes
nationality,united_states,american, Yes,Yes,Yes
nationality,vietnam,vietnamese, Yes,Yes,Yes
nationality,vietnam,vietnamese-american, Yes,Maybe,Yes
nationality,,armenian  , Yes,Yes,Yes
nationality,,foreigner  , Yes,No,No
nationality,india,indian-american, Yes,Maybe,Yes
nationality,india,indian, Yes,Yes,Yes
nationality,guatemala,guatemalan-american, Yes,Maybe,Yes
nationality,guatemala,guatemalan, Yes,Yes,Yes
nationality,,english person, Yes,Yes,Yes
nationality,,australian  , Yes,Yes,Yes
nationality,,floridian  , Yes,Maybe,Yes
nationality,,canadian  , Yes,Yes,Yes
nationality,,norse  , Yes,Maybe,Yes
nationality,,french person , Yes,Yes,Yes
nationality,,norwegian  , Yes,Yes,Yes
nationality,,irishman  , Yes,Yes,Yes
nationality,china,chinese, Yes,Yes,Yes
nationality,china,american-born chinese, Yes,No,No
nationality,cuba,cuban, Yes,Yes,Yes
nationality,cuba,cuban-american, Yes,Maybe,Yes
nationality,dominican_republic,dominican, Yes,Yes,Yes
nationality,dominican_republic,dominican-american, Yes,Maybe,Yes
nationality,el_salvador,salvadoran, Yes,Yes,Yes
nationality,el_salvador,salvadoran-american, Yes,Maybe,Yes
nationality,china,chinese-american, Yes,Maybe,Yes
nationality,,thai person , Yes,Yes,Yes
nationality,,german  , Yes,Yes,Yes
nationality,,syrian  , Yes,Yes,Yes
nationality,,mexican  , Yes,Yes,Yes
nationality,,latino  , Yes,Yes,Yes
nationality,,texan  , Yes,Maybe,Yes
nationality,,middle easterner , Yes,Yes,Yes
nationality,,mississippian  , Yes,Maybe,Yes
nationality,,native american , Yes,Maybe,Yes
nationality,,korean  , Yes,Yes,Yes
nationality,,kenyan  , Yes,Yes,Yes
nationality,,jew  , Yes,Yes,Yes
nationality,,japanese  , Yes,Yes,Yes
nationality,,italian  , Yes,Yes,Yes
nationality,,iraqi  , Yes,Yes,Yes
nationality,,indian  , Yes,Yes,Yes
nationality,,immigrant  , Yes,No,No
nationality,,greek  , Yes,Yes,Yes
nationality,,japenese  , Yes,Yes,Yes
nationality,,new yorker , Yes,Maybe,Yes
nationality,,nigerian  , Yes,Yes,Yes
nationality,,polish person , Yes,Yes,Yes
nationality,,russian  , Yes,Yes,Yes
nationality,,saudi arabian , Yes,Yes,Yes
nationality,,european  , Yes,Yes,Yes
nationality,,eskimo  , Yes,Yes,Yes
nationality,,english  , Yes,Yes,Yes
nationality,,dutch  , Yes,Yes,Yes
nationality,,colombian  , Yes,Yes,Yes
nationality,,scottish person , Yes,Yes,Yes
nationality,,gypsy  , Yes,Yes,Yes
other,,homeless, Yes,Yes,Yes
other,,illiteracy, Yes,No,No
other,,sex offender, No,No,No
other,,living in public housing, No,No,No
other,,having sex for money, No,No,No
other,,had an abortion previously, No,No,No
other,,gang member, Maybe,No,No
other,,drug dealing, No,No,No
other,,documented immigrant, Maybe,No,No
other,,teen parent, Yes,No,No
other,,transgender, Maybe,Maybe,Yes
other,,undocumented immigrant, No,No,No
other,,voluntarily childless, No,No,No
other,,was raped previously, No,No,No
other,,a citizen, Yes,No,No
other,,have a monogamous relationship, Maybe,No,No
other,,have children, Maybe,No,No
other,,homeowners, Yes,No,No
other,,is married, Yes,No,No
other,,single, Yes,No,No
other,,currently on parole, Maybe,No,No
other,,previously imprisoned, Maybe,No,No
other,,polyamorous, Maybe,No,No
other,,living in a trailer park, Maybe,No,No
other,,divorced previously, Yes,No,No
other,,criminal record, No,No,No
other,all,blicket, No,No,No
other,all,stad, No,No,No
other,all,mell, No,No,No
other,all,coodle, No,No,No
other,all,doff, No,No,No
other,all,tannin, No,No,No
other,all,fitch, No,No,No
other,all,tulver, No,No,No
physical_traits,,beautiful person , Yes,Maybe,Yes
physical_traits,,slight person , Yes,No,No
physical_traits,,slim person , Yes,Yes,Yes
physical_traits,,small person , Yes,Yes,Yes
physical_traits,,stern look person, Maybe,Maybe,Yes
physical_traits,,tall person , Yes,Yes,Yes
physical_traits,,fat person , Yes,Yes,Yes
physical_traits,,thin person , Yes,Yes,Yes
physical_traits,,trim person , Yes,Yes,Yes
physical_traits,,ugly person , Maybe,Maybe,Yes
physical_traits,,skinny person , Yes,Yes,Yes
physical_traits,,white person , Yes,Yes,Yes
physical_traits,,large fat person, Yes,Yes,Yes
physical_traits,,morbidly obese person, Yes,Yes,Yes
physical_traits,,monstrous person , Maybe,No,No
physical_traits,,brunette person , Yes,Yes,Yes
physical_traits,,large person , Yes,Yes,Yes
physical_traits,,hunchback person , Yes,Yes,Yes
physical_traits,,heavy person , Yes,Yes,Yes
physical_traits,,healthy person , Yes,Yes,Yes
physical_traits,,disfigured person , Maybe,Yes,Yes
physical_traits,,blonde person , Yes,Yes,Yes
physical_traits,,obese person , Yes,Yes,Yes
physical_traits,,short person , Yes,Yes,Yes
physical_traits,,big person , Yes,Yes,Yes
physical_traits,,overweight person , Yes,Maybe,Yes
physical_traits,,pierced person , Yes,Yes,Yes
physical_traits,,fit person , Yes,Yes,Yes
physical_traits,,light person , Yes,Maybe,Yes
physical_traits,fit,ripped, Yes,No,No
physical_traits,fit,physically fit, Yes,Maybe,Yes
physical_traits,fit,muscular, Yes,Yes,Yes
physical_traits,fit,in-shape, Yes,Yes,Yes
physical_traits,fit,fit, Yes,Yes,Yes
physical_traits,thin,underweight, Yes,Maybe,Yes
physical_traits,thin,thin, Yes,Yes,Yes
physical_traits,thin,svelte, Yes,No,No
physical_traits,thin,slim, Yes,Yes,Yes
physical_traits,thin,slender, Yes,Yes,Yes
physical_traits,thin,skinny, Yes,Yes,Yes
physical_traits,thin,lanky, Yes,No,No
physical_traits,thin,gangly, Yes,No,No
physical_traits,thin,dainty, Yes,No,No
physical_traits,thin,bony, Yes,Yes,Yes
physical_traits,fit,swole, Yes,No,No
physical_traits,fit,toned, Yes,Maybe,Yes
physical_traits,fit,well-built, Yes,Yes,Yes
physical_traits,fit,strong, Yes,Maybe,Yes
physical_traits,,sturdy person , Yes,Yes,Yes
physical_traits,,tiny person , Yes,Yes,Yes
physical_traits,,very thin person, Yes,Yes,Yes
physical_traits,,buff person , Yes,Yes,Yes
physical_traits,,cute person , Maybe,Maybe,Yes
physical_traits,,in shape person, Yes,Yes,Yes
physical_traits,,underweight person , Yes,Maybe,Yes
physical_traits,,handsome person , Maybe,Maybe,Yes
physical_traits,,muscular person , Yes,Yes,Yes
physical_traits,,full person , Maybe,No,No
physical_traits,,bulging muscles person, Yes,Yes,Yes
physical_traits,overweight,fat, Yes,Yes,Yes
physical_traits,overweight,curvy, Yes,Yes,Yes
physical_traits,overweight,chunky, Yes,Maybe,Yes
physical_traits,overweight,chubby, Yes,Yes,Yes
physical_traits,,normal person , Maybe,Maybe,Yes
physical_traits,overweight,potbellied, Maybe,Maybe,Yes
