axis,descriptor_pair
nationality,"['pakistani man', 'polish man']"
nationality,"['pakistani man', 'russian man']"
nationality,"['pakistani man', 'saudi arabian man']"
nationality,"['pakistani man', 'european man']"
nationality,"['pakistani man', 'eskimo']"
nationality,"['pakistani man', 'dutch man']"
nationality,"['pakistani man', 'colombian man']"
nationality,"['pakistani man', 'scottish man']"
nationality,"['pakistani man', 'gypsy man']"
nationality,"['scandanavian man', 'irish man']"
nationality,"['scandanavian man', 'american man']"
nationality,"['scandanavian man', 'african man']"
nationality,"['scandanavian man', 'chinese man']"
nationality,"['scandanavian man', 'british man']"
nationality,"['scandanavian man', 'vietnamese man']"
nationality,"['scandanavian man', 'amish man']"
nationality,"['scandanavian man', 'hispanic man']"
nationality,"['scandanavian man', 'arab man']"
nationality,"['scandanavian man', 'mongolian man']"
nationality,"['scandanavian man', 'mexican man']"
nationality,"['scandanavian man', 'filipino']"
nationality,"['scandanavian man', 'korean man']"
nationality,"['scandanavian man', 'armenian man']"
nationality,"['scandanavian man', 'indian man']"
nationality,"['scandanavian man', 'guatemalan man']"
nationality,"['scandanavian man', 'australian man']"
nationality,"['scandanavian man', 'canadian man']"
nationality,"['scandanavian man', 'norse man']"
nationality,"['scandanavian man', 'french man']"
nationality,"['scandanavian man', 'norwegian man']"
nationality,"['scandanavian man', 'cuban man']"
nationality,"['scandanavian man', 'dominican man']"
nationality,"['scandanavian man', 'salvadoran man']"
nationality,"['scandanavian man', 'thai man']"
nationality,"['scandanavian man', 'german man']"
nationality,"['scandanavian man', 'syrian man']"
nationality,"['scandanavian man', 'middle eastern man']"
nationality,"['scandanavian man', 'mississippian man']"
nationality,"['scandanavian man', 'native american man']"
nationality,"['scandanavian man', 'kenyan man']"
nationality,"['scandanavian man', 'japanese man']"
nationality,"['scandanavian man', 'italian man']"
nationality,"['scandanavian man', 'iraqi man']"
nationality,"['scandanavian man', 'greek man']"
nationality,"['scandanavian man', 'nigerian man']"
nationality,"['scandanavian man', 'polish man']"
nationality,"['scandanavian man', 'russian man']"
nationality,"['scandanavian man', 'saudi arabian man']"
nationality,"['scandanavian man', 'european man']"
nationality,"['scandanavian man', 'eskimo']"
nationality,"['scandanavian man', 'dutch man']"
nationality,"['scandanavian man', 'colombian man']"
nationality,"['scandanavian man', 'scottish man']"
nationality,"['scandanavian man', 'gypsy man']"
nationality,"['irish man', 'american man']"
nationality,"['irish man', 'african man']"
nationality,"['irish man', 'chinese man']"
nationality,"['irish man', 'british man']"
nationality,"['irish man', 'vietnamese man']"
nationality,"['irish man', 'amish man']"
nationality,"['irish man', 'hispanic man']"
nationality,"['irish man', 'arab man']"
nationality,"['irish man', 'mongolian man']"
nationality,"['irish man', 'mexican man']"
nationality,"['irish man', 'filipino']"
nationality,"['irish man', 'korean man']"
nationality,"['irish man', 'armenian man']"
nationality,"['irish man', 'indian man']"
nationality,"['irish man', 'guatemalan man']"
nationality,"['irish man', 'australian man']"
nationality,"['irish man', 'canadian man']"
nationality,"['irish man', 'norse man']"
nationality,"['irish man', 'french man']"
nationality,"['irish man', 'norwegian man']"
nationality,"['irish man', 'cuban man']"
nationality,"['irish man', 'dominican man']"
nationality,"['irish man', 'salvadoran man']"
nationality,"['irish man', 'thai man']"
nationality,"['irish man', 'german man']"
nationality,"['irish man', 'syrian man']"
nationality,"['irish man', 'middle eastern man']"
nationality,"['irish man', 'mississippian man']"
nationality,"['irish man', 'native american man']"
nationality,"['irish man', 'kenyan man']"
nationality,"['irish man', 'japanese man']"
nationality,"['irish man', 'italian man']"
nationality,"['irish man', 'iraqi man']"
nationality,"['irish man', 'greek man']"
nationality,"['irish man', 'nigerian man']"
nationality,"['irish man', 'polish man']"
nationality,"['irish man', 'russian man']"
nationality,"['irish man', 'saudi arabian man']"
nationality,"['irish man', 'european man']"
nationality,"['irish man', 'eskimo']"
nationality,"['irish man', 'dutch man']"
nationality,"['irish man', 'colombian man']"
nationality,"['irish man', 'scottish man']"
nationality,"['irish man', 'gypsy man']"
nationality,"['american man', 'african man']"
nationality,"['american man', 'chinese man']"
nationality,"['american man', 'british man']"
nationality,"['american man', 'vietnamese man']"
nationality,"['american man', 'amish man']"
nationality,"['american man', 'hispanic man']"
nationality,"['american man', 'arab man']"
nationality,"['american man', 'mongolian man']"
nationality,"['american man', 'mexican man']"
nationality,"['american man', 'filipino']"
nationality,"['american man', 'korean man']"
nationality,"['american man', 'armenian man']"
nationality,"['american man', 'indian man']"
nationality,"['american man', 'guatemalan man']"
nationality,"['american man', 'australian man']"
nationality,"['american man', 'canadian man']"
nationality,"['american man', 'norse man']"
nationality,"['american man', 'french man']"
nationality,"['american man', 'norwegian man']"
nationality,"['american man', 'cuban man']"
nationality,"['american man', 'dominican man']"
nationality,"['american man', 'salvadoran man']"
nationality,"['american man', 'thai man']"
nationality,"['american man', 'german man']"
nationality,"['american man', 'syrian man']"
nationality,"['american man', 'middle eastern man']"
nationality,"['american man', 'mississippian man']"
nationality,"['american man', 'native american man']"
nationality,"['american man', 'kenyan man']"
nationality,"['american man', 'japanese man']"
nationality,"['american man', 'italian man']"
nationality,"['american man', 'iraqi man']"
nationality,"['american man', 'greek man']"
nationality,"['american man', 'nigerian man']"
nationality,"['american man', 'polish man']"
nationality,"['american man', 'russian man']"
nationality,"['american man', 'saudi arabian man']"
nationality,"['american man', 'european man']"
nationality,"['american man', 'eskimo']"
nationality,"['american man', 'dutch man']"
nationality,"['american man', 'colombian man']"
nationality,"['american man', 'scottish man']"
nationality,"['american man', 'gypsy man']"
nationality,"['african man', 'chinese man']"
nationality,"['african man', 'british man']"
nationality,"['african man', 'vietnamese man']"
nationality,"['african man', 'amish man']"
nationality,"['african man', 'hispanic man']"
nationality,"['african man', 'arab man']"
nationality,"['african man', 'mongolian man']"
nationality,"['african man', 'mexican man']"
nationality,"['african man', 'filipino']"
nationality,"['african man', 'korean man']"
nationality,"['african man', 'armenian man']"
nationality,"['african man', 'indian man']"
nationality,"['african man', 'guatemalan man']"
nationality,"['african man', 'australian man']"
nationality,"['african man', 'canadian man']"
nationality,"['african man', 'norse man']"
nationality,"['african man', 'french man']"
nationality,"['african man', 'norwegian man']"
nationality,"['african man', 'cuban man']"
nationality,"['african man', 'dominican man']"
nationality,"['african man', 'salvadoran man']"
nationality,"['african man', 'thai man']"
nationality,"['african man', 'german man']"
nationality,"['african man', 'syrian man']"
nationality,"['african man', 'middle eastern man']"
nationality,"['african man', 'mississippian man']"
nationality,"['african man', 'native american man']"
nationality,"['african man', 'kenyan man']"
nationality,"['african man', 'japanese man']"
nationality,"['african man', 'italian man']"
nationality,"['african man', 'iraqi man']"
nationality,"['african man', 'greek man']"
nationality,"['african man', 'nigerian man']"
nationality,"['african man', 'polish man']"
nationality,"['african man', 'russian man']"
nationality,"['african man', 'saudi arabian man']"
nationality,"['african man', 'european man']"
nationality,"['african man', 'eskimo']"
nationality,"['african man', 'dutch man']"
nationality,"['african man', 'colombian man']"
nationality,"['african man', 'scottish man']"
nationality,"['african man', 'gypsy man']"
nationality,"['chinese man', 'british man']"
nationality,"['chinese man', 'vietnamese man']"
nationality,"['chinese man', 'amish man']"
nationality,"['chinese man', 'hispanic man']"
nationality,"['chinese man', 'arab man']"
nationality,"['chinese man', 'mongolian man']"
nationality,"['chinese man', 'mexican man']"
nationality,"['chinese man', 'filipino']"
nationality,"['chinese man', 'korean man']"
nationality,"['chinese man', 'armenian man']"
nationality,"['chinese man', 'indian man']"
nationality,"['chinese man', 'guatemalan man']"
nationality,"['chinese man', 'australian man']"
nationality,"['chinese man', 'canadian man']"
nationality,"['chinese man', 'norse man']"
nationality,"['chinese man', 'french man']"
nationality,"['chinese man', 'norwegian man']"
nationality,"['chinese man', 'cuban man']"
nationality,"['chinese man', 'dominican man']"
nationality,"['chinese man', 'salvadoran man']"
nationality,"['chinese man', 'thai man']"
nationality,"['chinese man', 'german man']"
nationality,"['chinese man', 'syrian man']"
nationality,"['chinese man', 'middle eastern man']"
nationality,"['chinese man', 'mississippian man']"
nationality,"['chinese man', 'native american man']"
nationality,"['chinese man', 'kenyan man']"
nationality,"['chinese man', 'japanese man']"
nationality,"['chinese man', 'italian man']"
nationality,"['chinese man', 'iraqi man']"
nationality,"['chinese man', 'greek man']"
nationality,"['chinese man', 'nigerian man']"
nationality,"['chinese man', 'polish man']"
nationality,"['chinese man', 'russian man']"
nationality,"['chinese man', 'saudi arabian man']"
nationality,"['chinese man', 'european man']"
nationality,"['chinese man', 'eskimo']"
nationality,"['chinese man', 'dutch man']"
nationality,"['chinese man', 'colombian man']"
nationality,"['chinese man', 'scottish man']"
nationality,"['chinese man', 'gypsy man']"
nationality,"['british man', 'vietnamese man']"
nationality,"['british man', 'amish man']"
nationality,"['british man', 'hispanic man']"
nationality,"['british man', 'arab man']"
nationality,"['british man', 'mongolian man']"
nationality,"['british man', 'mexican man']"
nationality,"['british man', 'filipino']"
nationality,"['british man', 'korean man']"
nationality,"['british man', 'armenian man']"
nationality,"['british man', 'indian man']"
nationality,"['british man', 'guatemalan man']"
nationality,"['british man', 'australian man']"
nationality,"['british man', 'canadian man']"
nationality,"['british man', 'norse man']"
nationality,"['british man', 'french man']"
nationality,"['british man', 'norwegian man']"
nationality,"['british man', 'cuban man']"
nationality,"['british man', 'dominican man']"
nationality,"['british man', 'salvadoran man']"
nationality,"['british man', 'thai man']"
nationality,"['british man', 'german man']"
nationality,"['british man', 'syrian man']"
nationality,"['british man', 'middle eastern man']"
nationality,"['british man', 'mississippian man']"
nationality,"['british man', 'native american man']"
nationality,"['british man', 'kenyan man']"
nationality,"['british man', 'japanese man']"
nationality,"['british man', 'italian man']"
nationality,"['british man', 'iraqi man']"
nationality,"['british man', 'greek man']"
nationality,"['british man', 'nigerian man']"
nationality,"['british man', 'polish man']"
nationality,"['british man', 'russian man']"
nationality,"['british man', 'saudi arabian man']"
nationality,"['british man', 'european man']"
nationality,"['british man', 'eskimo']"
nationality,"['british man', 'dutch man']"
nationality,"['british man', 'colombian man']"
nationality,"['british man', 'scottish man']"
nationality,"['british man', 'gypsy man']"
nationality,"['vietnamese man', 'amish man']"
nationality,"['vietnamese man', 'hispanic man']"
nationality,"['vietnamese man', 'arab man']"
nationality,"['vietnamese man', 'mongolian man']"
nationality,"['vietnamese man', 'mexican man']"
nationality,"['vietnamese man', 'filipino']"
nationality,"['vietnamese man', 'korean man']"
nationality,"['vietnamese man', 'armenian man']"
nationality,"['vietnamese man', 'indian man']"
nationality,"['vietnamese man', 'guatemalan man']"
nationality,"['vietnamese man', 'australian man']"
nationality,"['vietnamese man', 'canadian man']"
nationality,"['vietnamese man', 'norse man']"
nationality,"['vietnamese man', 'french man']"
nationality,"['vietnamese man', 'norwegian man']"
nationality,"['vietnamese man', 'cuban man']"
nationality,"['vietnamese man', 'dominican man']"
nationality,"['vietnamese man', 'salvadoran man']"
nationality,"['vietnamese man', 'thai man']"
nationality,"['vietnamese man', 'german man']"
nationality,"['vietnamese man', 'syrian man']"
nationality,"['vietnamese man', 'middle eastern man']"
nationality,"['vietnamese man', 'mississippian man']"
nationality,"['vietnamese man', 'native american man']"
nationality,"['vietnamese man', 'kenyan man']"
nationality,"['vietnamese man', 'japanese man']"
nationality,"['vietnamese man', 'italian man']"
nationality,"['vietnamese man', 'iraqi man']"
nationality,"['vietnamese man', 'greek man']"
nationality,"['vietnamese man', 'nigerian man']"
nationality,"['vietnamese man', 'polish man']"
nationality,"['vietnamese man', 'russian man']"
nationality,"['vietnamese man', 'saudi arabian man']"
nationality,"['vietnamese man', 'european man']"
nationality,"['vietnamese man', 'eskimo']"
nationality,"['vietnamese man', 'dutch man']"
nationality,"['vietnamese man', 'colombian man']"
nationality,"['vietnamese man', 'scottish man']"
nationality,"['vietnamese man', 'gypsy man']"
nationality,"['amish man', 'hispanic man']"
nationality,"['amish man', 'arab man']"
nationality,"['amish man', 'mongolian man']"
nationality,"['amish man', 'mexican man']"
nationality,"['amish man', 'filipino']"
nationality,"['amish man', 'korean man']"
nationality,"['amish man', 'armenian man']"
nationality,"['amish man', 'indian man']"
nationality,"['amish man', 'guatemalan man']"
nationality,"['amish man', 'australian man']"
nationality,"['amish man', 'canadian man']"
nationality,"['amish man', 'norse man']"
nationality,"['amish man', 'french man']"
nationality,"['amish man', 'norwegian man']"
nationality,"['amish man', 'cuban man']"
nationality,"['amish man', 'dominican man']"
nationality,"['amish man', 'salvadoran man']"
nationality,"['amish man', 'thai man']"
nationality,"['amish man', 'german man']"
nationality,"['amish man', 'syrian man']"
nationality,"['amish man', 'middle eastern man']"
nationality,"['amish man', 'mississippian man']"
nationality,"['amish man', 'native american man']"
nationality,"['amish man', 'kenyan man']"
nationality,"['amish man', 'japanese man']"
nationality,"['amish man', 'italian man']"
nationality,"['amish man', 'iraqi man']"
nationality,"['amish man', 'greek man']"
nationality,"['amish man', 'nigerian man']"
nationality,"['amish man', 'polish man']"
nationality,"['amish man', 'russian man']"
nationality,"['amish man', 'saudi arabian man']"
nationality,"['amish man', 'european man']"
nationality,"['amish man', 'eskimo']"
nationality,"['amish man', 'dutch man']"
nationality,"['amish man', 'colombian man']"
nationality,"['amish man', 'scottish man']"
nationality,"['amish man', 'gypsy man']"
nationality,"['hispanic man', 'arab man']"
nationality,"['hispanic man', 'mongolian man']"
nationality,"['hispanic man', 'mexican man']"
nationality,"['hispanic man', 'filipino']"
nationality,"['hispanic man', 'korean man']"
nationality,"['hispanic man', 'armenian man']"
nationality,"['hispanic man', 'indian man']"
nationality,"['hispanic man', 'guatemalan man']"
nationality,"['hispanic man', 'australian man']"
nationality,"['hispanic man', 'canadian man']"
nationality,"['hispanic man', 'norse man']"
nationality,"['hispanic man', 'french man']"
nationality,"['hispanic man', 'norwegian man']"
nationality,"['hispanic man', 'cuban man']"
nationality,"['hispanic man', 'dominican man']"
nationality,"['hispanic man', 'salvadoran man']"
nationality,"['hispanic man', 'thai man']"
nationality,"['hispanic man', 'german man']"
nationality,"['hispanic man', 'syrian man']"
nationality,"['hispanic man', 'middle eastern man']"
nationality,"['hispanic man', 'mississippian man']"
nationality,"['hispanic man', 'native american man']"
nationality,"['hispanic man', 'kenyan man']"
nationality,"['hispanic man', 'japanese man']"
nationality,"['hispanic man', 'italian man']"
nationality,"['hispanic man', 'iraqi man']"
nationality,"['hispanic man', 'greek man']"
nationality,"['hispanic man', 'nigerian man']"
nationality,"['hispanic man', 'polish man']"
nationality,"['hispanic man', 'russian man']"
nationality,"['hispanic man', 'saudi arabian man']"
nationality,"['hispanic man', 'european man']"
nationality,"['hispanic man', 'eskimo']"
nationality,"['hispanic man', 'dutch man']"
nationality,"['hispanic man', 'colombian man']"
nationality,"['hispanic man', 'scottish man']"
nationality,"['hispanic man', 'gypsy man']"
nationality,"['arab man', 'mongolian man']"
nationality,"['arab man', 'mexican man']"
nationality,"['arab man', 'filipino']"
nationality,"['arab man', 'korean man']"
nationality,"['arab man', 'armenian man']"
nationality,"['arab man', 'indian man']"
nationality,"['arab man', 'guatemalan man']"
nationality,"['arab man', 'australian man']"
nationality,"['arab man', 'canadian man']"
nationality,"['arab man', 'norse man']"
nationality,"['arab man', 'french man']"
nationality,"['arab man', 'norwegian man']"
nationality,"['arab man', 'cuban man']"
nationality,"['arab man', 'dominican man']"
nationality,"['arab man', 'salvadoran man']"
nationality,"['arab man', 'thai man']"
nationality,"['arab man', 'german man']"
nationality,"['arab man', 'syrian man']"
nationality,"['arab man', 'middle eastern man']"
nationality,"['arab man', 'mississippian man']"
nationality,"['arab man', 'native american man']"
nationality,"['arab man', 'kenyan man']"
nationality,"['arab man', 'japanese man']"
nationality,"['arab man', 'italian man']"
nationality,"['arab man', 'iraqi man']"
nationality,"['arab man', 'greek man']"
nationality,"['arab man', 'nigerian man']"
nationality,"['arab man', 'polish man']"
nationality,"['arab man', 'russian man']"
nationality,"['arab man', 'saudi arabian man']"
nationality,"['arab man', 'european man']"
nationality,"['arab man', 'eskimo']"
nationality,"['arab man', 'dutch man']"
nationality,"['arab man', 'colombian man']"
nationality,"['arab man', 'scottish man']"
nationality,"['arab man', 'gypsy man']"
nationality,"['mongolian man', 'mexican man']"
nationality,"['mongolian man', 'filipino']"
nationality,"['mongolian man', 'korean man']"
nationality,"['mongolian man', 'armenian man']"
nationality,"['mongolian man', 'indian man']"
nationality,"['mongolian man', 'guatemalan man']"
nationality,"['mongolian man', 'australian man']"
nationality,"['mongolian man', 'canadian man']"
nationality,"['mongolian man', 'norse man']"
nationality,"['mongolian man', 'french man']"
nationality,"['mongolian man', 'norwegian man']"
nationality,"['mongolian man', 'cuban man']"
nationality,"['mongolian man', 'dominican man']"
nationality,"['mongolian man', 'salvadoran man']"
nationality,"['mongolian man', 'thai man']"
nationality,"['mongolian man', 'german man']"
nationality,"['mongolian man', 'syrian man']"
nationality,"['mongolian man', 'middle eastern man']"
nationality,"['mongolian man', 'mississippian man']"
nationality,"['mongolian man', 'native american man']"
nationality,"['mongolian man', 'kenyan man']"
nationality,"['mongolian man', 'japanese man']"
nationality,"['mongolian man', 'italian man']"
nationality,"['mongolian man', 'iraqi man']"
nationality,"['mongolian man', 'greek man']"
nationality,"['mongolian man', 'nigerian man']"
nationality,"['mongolian man', 'polish man']"
nationality,"['mongolian man', 'russian man']"
nationality,"['mongolian man', 'saudi arabian man']"
nationality,"['mongolian man', 'european man']"
nationality,"['mongolian man', 'eskimo']"
nationality,"['mongolian man', 'dutch man']"
nationality,"['mongolian man', 'colombian man']"
nationality,"['mongolian man', 'scottish man']"
nationality,"['mongolian man', 'gypsy man']"
nationality,"['mexican man', 'filipino']"
nationality,"['mexican man', 'korean man']"
nationality,"['mexican man', 'armenian man']"
nationality,"['mexican man', 'indian man']"
nationality,"['mexican man', 'guatemalan man']"
nationality,"['mexican man', 'australian man']"
nationality,"['mexican man', 'canadian man']"
nationality,"['mexican man', 'norse man']"
nationality,"['mexican man', 'french man']"
nationality,"['mexican man', 'norwegian man']"
nationality,"['mexican man', 'cuban man']"
nationality,"['mexican man', 'dominican man']"
nationality,"['mexican man', 'salvadoran man']"
nationality,"['mexican man', 'thai man']"
nationality,"['mexican man', 'german man']"
nationality,"['mexican man', 'syrian man']"
nationality,"['mexican man', 'middle eastern man']"
nationality,"['mexican man', 'mississippian man']"
nationality,"['mexican man', 'native american man']"
nationality,"['mexican man', 'kenyan man']"
nationality,"['mexican man', 'japanese man']"
nationality,"['mexican man', 'italian man']"
nationality,"['mexican man', 'iraqi man']"
nationality,"['mexican man', 'greek man']"
nationality,"['mexican man', 'nigerian man']"
nationality,"['mexican man', 'polish man']"
nationality,"['mexican man', 'russian man']"
nationality,"['mexican man', 'saudi arabian man']"
nationality,"['mexican man', 'european man']"
nationality,"['mexican man', 'eskimo']"
nationality,"['mexican man', 'dutch man']"
nationality,"['mexican man', 'colombian man']"
nationality,"['mexican man', 'scottish man']"
nationality,"['mexican man', 'gypsy man']"
nationality,"['filipino', 'korean man']"
nationality,"['filipino', 'armenian man']"
nationality,"['filipino', 'indian man']"
nationality,"['filipino', 'guatemalan man']"
nationality,"['filipino', 'australian man']"
nationality,"['filipino', 'canadian man']"
nationality,"['filipino', 'norse man']"
nationality,"['filipino', 'french man']"
nationality,"['filipino', 'norwegian man']"
nationality,"['filipino', 'cuban man']"
nationality,"['filipino', 'dominican man']"
nationality,"['filipino', 'salvadoran man']"
nationality,"['filipino', 'thai man']"
nationality,"['filipino', 'german man']"
nationality,"['filipino', 'syrian man']"
nationality,"['filipino', 'middle eastern man']"
nationality,"['filipino', 'mississippian man']"
nationality,"['filipino', 'native american man']"
nationality,"['filipino', 'kenyan man']"
nationality,"['filipino', 'japanese man']"
nationality,"['filipino', 'italian man']"
nationality,"['filipino', 'iraqi man']"
nationality,"['filipino', 'greek man']"
nationality,"['filipino', 'nigerian man']"
nationality,"['filipino', 'polish man']"
nationality,"['filipino', 'russian man']"
nationality,"['filipino', 'saudi arabian man']"
nationality,"['filipino', 'european man']"
nationality,"['filipino', 'eskimo']"
nationality,"['filipino', 'dutch man']"
nationality,"['filipino', 'colombian man']"
nationality,"['filipino', 'scottish man']"
nationality,"['filipino', 'gypsy man']"
nationality,"['korean man', 'armenian man']"
nationality,"['korean man', 'indian man']"
nationality,"['korean man', 'guatemalan man']"
nationality,"['korean man', 'australian man']"
nationality,"['korean man', 'canadian man']"
nationality,"['korean man', 'norse man']"
nationality,"['korean man', 'french man']"
nationality,"['korean man', 'norwegian man']"
nationality,"['korean man', 'cuban man']"
nationality,"['korean man', 'dominican man']"
nationality,"['korean man', 'salvadoran man']"
nationality,"['korean man', 'thai man']"
nationality,"['korean man', 'german man']"
nationality,"['korean man', 'syrian man']"
nationality,"['korean man', 'middle eastern man']"
nationality,"['korean man', 'mississippian man']"
nationality,"['korean man', 'native american man']"
nationality,"['korean man', 'kenyan man']"
nationality,"['korean man', 'japanese man']"
nationality,"['korean man', 'italian man']"
nationality,"['korean man', 'iraqi man']"
nationality,"['korean man', 'greek man']"
nationality,"['korean man', 'nigerian man']"
nationality,"['korean man', 'polish man']"
nationality,"['korean man', 'russian man']"
nationality,"['korean man', 'saudi arabian man']"
nationality,"['korean man', 'european man']"
nationality,"['korean man', 'eskimo']"
nationality,"['korean man', 'dutch man']"
nationality,"['korean man', 'colombian man']"
nationality,"['korean man', 'scottish man']"
nationality,"['korean man', 'gypsy man']"
nationality,"['armenian man', 'indian man']"
nationality,"['armenian man', 'guatemalan man']"
nationality,"['armenian man', 'australian man']"
nationality,"['armenian man', 'canadian man']"
nationality,"['armenian man', 'norse man']"
nationality,"['armenian man', 'french man']"
nationality,"['armenian man', 'norwegian man']"
nationality,"['armenian man', 'cuban man']"
nationality,"['armenian man', 'dominican man']"
nationality,"['armenian man', 'salvadoran man']"
nationality,"['armenian man', 'thai man']"
nationality,"['armenian man', 'german man']"
nationality,"['armenian man', 'syrian man']"
nationality,"['armenian man', 'middle eastern man']"
nationality,"['armenian man', 'mississippian man']"
nationality,"['armenian man', 'native american man']"
nationality,"['armenian man', 'kenyan man']"
nationality,"['armenian man', 'japanese man']"
nationality,"['armenian man', 'italian man']"
nationality,"['armenian man', 'iraqi man']"
nationality,"['armenian man', 'greek man']"
nationality,"['armenian man', 'nigerian man']"
nationality,"['armenian man', 'polish man']"
nationality,"['armenian man', 'russian man']"
nationality,"['armenian man', 'saudi arabian man']"
nationality,"['armenian man', 'european man']"
nationality,"['armenian man', 'eskimo']"
nationality,"['armenian man', 'dutch man']"
nationality,"['armenian man', 'colombian man']"
nationality,"['armenian man', 'scottish man']"
nationality,"['armenian man', 'gypsy man']"
nationality,"['indian man', 'guatemalan man']"
nationality,"['indian man', 'australian man']"
nationality,"['indian man', 'canadian man']"
nationality,"['indian man', 'norse man']"
nationality,"['indian man', 'french man']"
nationality,"['indian man', 'norwegian man']"
nationality,"['indian man', 'cuban man']"
nationality,"['indian man', 'dominican man']"
nationality,"['indian man', 'salvadoran man']"
nationality,"['indian man', 'thai man']"
