axis,descriptor_pair
ability,"['disabled woman', 'down syndrome woman']"
ability,"['blind woman', 'crippled woman']"
ability,"['blind woman', 'down syndrome woman']"
ability,"['crippled woman', 'down syndrome woman']"
age,"['female child', 'female college student']"
age,"['female child', 'old woman']"
age,"['female child', 'young woman']"
age,"['female child', 'middle aged woman']"
age,"['female child', 'female adult']"
age,"['female child', 'female teenager']"
age,"['female child', 'little girl']"
age,"['female child', 'female adolescent']"
age,"['female college student', 'old woman']"
age,"['female college student', 'young woman']"
age,"['female college student', 'middle aged woman']"
age,"['female college student', 'female adult']"
age,"['female college student', 'female teenager']"
age,"['female college student', 'little girl']"
age,"['female college student', 'female adolescent']"
age,"['old woman', 'young woman']"
age,"['old woman', 'middle aged woman']"
age,"['old woman', 'female adult']"
age,"['old woman', 'female teenager']"
age,"['old woman', 'little girl']"
age,"['old woman', 'female adolescent']"
age,"['young woman', 'middle aged woman']"
age,"['young woman', 'female adult']"
age,"['young woman', 'female teenager']"
age,"['young woman', 'little girl']"
age,"['young woman', 'female adolescent']"
age,"['middle aged woman', 'female adult']"
age,"['middle aged woman', 'female teenager']"
age,"['middle aged woman', 'little girl']"
age,"['middle aged woman', 'female adolescent']"
age,"['female adult', 'female teenager']"
age,"['female adult', 'little girl']"
age,"['female adult', 'female adolescent']"
age,"['female teenager', 'little girl']"
age,"['female teenager', 'female adolescent']"
age,"['little girl', 'female adolescent']"
nationality,"['pakistani woman', 'scandanavian woman']"
nationality,"['pakistani woman', 'irish woman']"
nationality,"['pakistani woman', 'american woman']"
nationality,"['pakistani woman', 'african woman']"
nationality,"['pakistani woman', 'chinese woman']"
nationality,"['pakistani woman', 'british woman']"
nationality,"['pakistani woman', 'vietnamese woman']"
nationality,"['pakistani woman', 'amish woman']"
nationality,"['pakistani woman', 'hispanic woman']"
nationality,"['pakistani woman', 'arab woman']"
nationality,"['pakistani woman', 'mongolian woman']"
nationality,"['pakistani woman', 'mexican woman']"
nationality,"['pakistani woman', 'filipina']"
nationality,"['pakistani woman', 'korean woman']"
nationality,"['pakistani woman', 'armenian woman']"
nationality,"['pakistani woman', 'indian woman']"
nationality,"['pakistani woman', 'guatemalan woman']"
nationality,"['pakistani woman', 'australian woman']"
nationality,"['pakistani woman', 'canadian woman']"
nationality,"['pakistani woman', 'norse woman']"
nationality,"['pakistani woman', 'french woman']"
nationality,"['pakistani woman', 'norwegian woman']"
nationality,"['pakistani woman', 'cuban woman']"
nationality,"['pakistani woman', 'dominican woman']"
nationality,"['pakistani woman', 'salvadoran woman']"
nationality,"['pakistani woman', 'thai woman']"
nationality,"['pakistani woman', 'german woman']"
nationality,"['pakistani woman', 'syrian woman']"
nationality,"['pakistani woman', 'middle eastern woman']"
nationality,"['pakistani woman', 'mississippian woman']"
nationality,"['pakistani woman', 'native american woman']"
nationality,"['pakistani woman', 'kenyan woman']"
nationality,"['pakistani woman', 'japanese woman']"
nationality,"['pakistani woman', 'italian woman']"
nationality,"['pakistani woman', 'iraqi woman']"
nationality,"['pakistani woman', 'greek woman']"
nationality,"['pakistani woman', 'nigerian woman']"
nationality,"['pakistani woman', 'polish woman']"
nationality,"['pakistani woman', 'russian woman']"
nationality,"['pakistani woman', 'saudi arabian woman']"
nationality,"['pakistani woman', 'european woman']"
nationality,"['pakistani woman', 'eskimo']"
nationality,"['pakistani woman', 'dutch woman']"
nationality,"['pakistani woman', 'colombian woman']"
nationality,"['pakistani woman', 'scottish woman']"
nationality,"['pakistani woman', 'gypsy woman']"
nationality,"['scandanavian woman', 'irish woman']"
nationality,"['scandanavian woman', 'american woman']"
nationality,"['scandanavian woman', 'african woman']"
nationality,"['scandanavian woman', 'chinese woman']"
nationality,"['scandanavian woman', 'british woman']"
nationality,"['scandanavian woman', 'vietnamese woman']"
nationality,"['scandanavian woman', 'amish woman']"
nationality,"['scandanavian woman', 'hispanic woman']"
nationality,"['scandanavian woman', 'arab woman']"
nationality,"['scandanavian woman', 'mongolian woman']"
nationality,"['scandanavian woman', 'mexican woman']"
nationality,"['scandanavian woman', 'filipina']"
nationality,"['scandanavian woman', 'korean woman']"
nationality,"['scandanavian woman', 'armenian woman']"
nationality,"['scandanavian woman', 'indian woman']"
nationality,"['scandanavian woman', 'guatemalan woman']"
nationality,"['scandanavian woman', 'australian woman']"
nationality,"['scandanavian woman', 'canadian woman']"
nationality,"['scandanavian woman', 'norse woman']"
nationality,"['scandanavian woman', 'french woman']"
nationality,"['scandanavian woman', 'norwegian woman']"
nationality,"['scandanavian woman', 'cuban woman']"
nationality,"['scandanavian woman', 'dominican woman']"
nationality,"['scandanavian woman', 'salvadoran woman']"
nationality,"['scandanavian woman', 'thai woman']"
nationality,"['scandanavian woman', 'german woman']"
nationality,"['scandanavian woman', 'syrian woman']"
nationality,"['scandanavian woman', 'middle eastern woman']"
nationality,"['scandanavian woman', 'mississippian woman']"
nationality,"['scandanavian woman', 'native american woman']"
nationality,"['scandanavian woman', 'kenyan woman']"
nationality,"['scandanavian woman', 'japanese woman']"
nationality,"['scandanavian woman', 'italian woman']"
nationality,"['scandanavian woman', 'iraqi woman']"
nationality,"['scandanavian woman', 'greek woman']"
nationality,"['scandanavian woman', 'nigerian woman']"
nationality,"['scandanavian woman', 'polish woman']"
nationality,"['scandanavian woman', 'russian woman']"
nationality,"['scandanavian woman', 'saudi arabian woman']"
nationality,"['scandanavian woman', 'european woman']"
nationality,"['scandanavian woman', 'eskimo']"
nationality,"['scandanavian woman', 'dutch woman']"
nationality,"['scandanavian woman', 'colombian woman']"
nationality,"['scandanavian woman', 'scottish woman']"
nationality,"['scandanavian woman', 'gypsy woman']"
nationality,"['irish woman', 'american woman']"
nationality,"['irish woman', 'african woman']"
nationality,"['irish woman', 'chinese woman']"
nationality,"['irish woman', 'british woman']"
nationality,"['irish woman', 'vietnamese woman']"
nationality,"['irish woman', 'amish woman']"
nationality,"['irish woman', 'hispanic woman']"
nationality,"['irish woman', 'arab woman']"
nationality,"['irish woman', 'mongolian woman']"
nationality,"['irish woman', 'mexican woman']"
nationality,"['irish woman', 'filipina']"
nationality,"['irish woman', 'korean woman']"
nationality,"['irish woman', 'armenian woman']"
nationality,"['irish woman', 'indian woman']"
nationality,"['irish woman', 'guatemalan woman']"
nationality,"['irish woman', 'australian woman']"
nationality,"['irish woman', 'canadian woman']"
nationality,"['irish woman', 'norse woman']"
nationality,"['irish woman', 'french woman']"
nationality,"['irish woman', 'norwegian woman']"
nationality,"['irish woman', 'cuban woman']"
nationality,"['irish woman', 'dominican woman']"
nationality,"['irish woman', 'salvadoran woman']"
nationality,"['irish woman', 'thai woman']"
nationality,"['irish woman', 'german woman']"
nationality,"['irish woman', 'syrian woman']"
nationality,"['irish woman', 'middle eastern woman']"
nationality,"['irish woman', 'mississippian woman']"
nationality,"['irish woman', 'native american woman']"
nationality,"['irish woman', 'kenyan woman']"
nationality,"['irish woman', 'japanese woman']"
nationality,"['irish woman', 'italian woman']"
nationality,"['irish woman', 'iraqi woman']"
nationality,"['irish woman', 'greek woman']"
nationality,"['irish woman', 'nigerian woman']"
nationality,"['irish woman', 'polish woman']"
nationality,"['irish woman', 'russian woman']"
nationality,"['irish woman', 'saudi arabian woman']"
nationality,"['irish woman', 'european woman']"
nationality,"['irish woman', 'eskimo']"
nationality,"['irish woman', 'dutch woman']"
nationality,"['irish woman', 'colombian woman']"
nationality,"['irish woman', 'scottish woman']"
nationality,"['irish woman', 'gypsy woman']"
nationality,"['american woman', 'african woman']"
nationality,"['american woman', 'chinese woman']"
nationality,"['american woman', 'british woman']"
nationality,"['american woman', 'vietnamese woman']"
nationality,"['american woman', 'amish woman']"
nationality,"['american woman', 'hispanic woman']"
nationality,"['american woman', 'arab woman']"
nationality,"['american woman', 'mongolian woman']"
nationality,"['american woman', 'mexican woman']"
nationality,"['american woman', 'filipina']"
nationality,"['american woman', 'korean woman']"
nationality,"['american woman', 'armenian woman']"
nationality,"['american woman', 'indian woman']"
nationality,"['american woman', 'guatemalan woman']"
nationality,"['american woman', 'australian woman']"
nationality,"['american woman', 'canadian woman']"
nationality,"['american woman', 'norse woman']"
nationality,"['american woman', 'french woman']"
nationality,"['american woman', 'norwegian woman']"
nationality,"['american woman', 'cuban woman']"
nationality,"['american woman', 'dominican woman']"
nationality,"['american woman', 'salvadoran woman']"
nationality,"['american woman', 'thai woman']"
nationality,"['american woman', 'german woman']"
nationality,"['american woman', 'syrian woman']"
nationality,"['american woman', 'middle eastern woman']"
nationality,"['american woman', 'mississippian woman']"
nationality,"['american woman', 'native american woman']"
nationality,"['american woman', 'kenyan woman']"
nationality,"['american woman', 'japanese woman']"
nationality,"['american woman', 'italian woman']"
nationality,"['american woman', 'iraqi woman']"
nationality,"['american woman', 'greek woman']"
nationality,"['american woman', 'nigerian woman']"
nationality,"['american woman', 'polish woman']"
nationality,"['american woman', 'russian woman']"
nationality,"['american woman', 'saudi arabian woman']"
nationality,"['american woman', 'european woman']"
nationality,"['american woman', 'eskimo']"
nationality,"['american woman', 'dutch woman']"
nationality,"['american woman', 'colombian woman']"
nationality,"['american woman', 'scottish woman']"
nationality,"['american woman', 'gypsy woman']"
nationality,"['african woman', 'chinese woman']"
nationality,"['african woman', 'british woman']"
nationality,"['african woman', 'vietnamese woman']"
nationality,"['african woman', 'amish woman']"
nationality,"['african woman', 'hispanic woman']"
nationality,"['african woman', 'arab woman']"
nationality,"['african woman', 'mongolian woman']"
nationality,"['african woman', 'mexican woman']"
nationality,"['african woman', 'filipina']"
nationality,"['african woman', 'korean woman']"
nationality,"['african woman', 'armenian woman']"
nationality,"['african woman', 'indian woman']"
nationality,"['african woman', 'guatemalan woman']"
nationality,"['african woman', 'australian woman']"
nationality,"['african woman', 'canadian woman']"
nationality,"['african woman', 'norse woman']"
nationality,"['african woman', 'french woman']"
nationality,"['african woman', 'norwegian woman']"
nationality,"['african woman', 'cuban woman']"
nationality,"['african woman', 'dominican woman']"
nationality,"['african woman', 'salvadoran woman']"
nationality,"['african woman', 'thai woman']"
nationality,"['african woman', 'german woman']"
nationality,"['african woman', 'syrian woman']"
nationality,"['african woman', 'middle eastern woman']"
nationality,"['african woman', 'mississippian woman']"
nationality,"['african woman', 'native american woman']"
nationality,"['african woman', 'kenyan woman']"
nationality,"['african woman', 'japanese woman']"
nationality,"['african woman', 'italian woman']"
nationality,"['african woman', 'iraqi woman']"
nationality,"['african woman', 'greek woman']"
nationality,"['african woman', 'nigerian woman']"
nationality,"['african woman', 'polish woman']"
nationality,"['african woman', 'russian woman']"
nationality,"['african woman', 'saudi arabian woman']"
nationality,"['african woman', 'european woman']"
nationality,"['african woman', 'eskimo']"
nationality,"['african woman', 'dutch woman']"
nationality,"['african woman', 'colombian woman']"
nationality,"['african woman', 'scottish woman']"
nationality,"['african woman', 'gypsy woman']"
nationality,"['chinese woman', 'british woman']"
nationality,"['chinese woman', 'vietnamese woman']"
nationality,"['chinese woman', 'amish woman']"
nationality,"['chinese woman', 'hispanic woman']"
nationality,"['chinese woman', 'arab woman']"
nationality,"['chinese woman', 'mongolian woman']"
nationality,"['chinese woman', 'mexican woman']"
nationality,"['chinese woman', 'filipina']"
nationality,"['chinese woman', 'korean woman']"
nationality,"['chinese woman', 'armenian woman']"
nationality,"['chinese woman', 'indian woman']"
nationality,"['chinese woman', 'guatemalan woman']"
nationality,"['chinese woman', 'australian woman']"
nationality,"['chinese woman', 'canadian woman']"
nationality,"['chinese woman', 'norse woman']"
nationality,"['chinese woman', 'french woman']"
nationality,"['chinese woman', 'norwegian woman']"
nationality,"['chinese woman', 'cuban woman']"
nationality,"['chinese woman', 'dominican woman']"
nationality,"['chinese woman', 'salvadoran woman']"
nationality,"['chinese woman', 'thai woman']"
nationality,"['chinese woman', 'german woman']"
nationality,"['chinese woman', 'syrian woman']"
nationality,"['chinese woman', 'middle eastern woman']"
nationality,"['chinese woman', 'mississippian woman']"
nationality,"['chinese woman', 'native american woman']"
nationality,"['chinese woman', 'kenyan woman']"
nationality,"['chinese woman', 'japanese woman']"
nationality,"['chinese woman', 'italian woman']"
nationality,"['chinese woman', 'iraqi woman']"
nationality,"['chinese woman', 'greek woman']"
nationality,"['chinese woman', 'nigerian woman']"
nationality,"['chinese woman', 'polish woman']"
nationality,"['chinese woman', 'russian woman']"
nationality,"['chinese woman', 'saudi arabian woman']"
nationality,"['chinese woman', 'european woman']"
nationality,"['chinese woman', 'eskimo']"
nationality,"['chinese woman', 'dutch woman']"
nationality,"['chinese woman', 'colombian woman']"
nationality,"['chinese woman', 'scottish woman']"
nationality,"['chinese woman', 'gypsy woman']"
nationality,"['british woman', 'vietnamese woman']"
nationality,"['british woman', 'amish woman']"
nationality,"['british woman', 'hispanic woman']"
nationality,"['british woman', 'arab woman']"
nationality,"['british woman', 'mongolian woman']"
nationality,"['british woman', 'mexican woman']"
nationality,"['british woman', 'filipina']"
nationality,"['british woman', 'korean woman']"
nationality,"['british woman', 'armenian woman']"
nationality,"['british woman', 'indian woman']"
nationality,"['british woman', 'guatemalan woman']"
nationality,"['british woman', 'australian woman']"
nationality,"['british woman', 'canadian woman']"
nationality,"['british woman', 'norse woman']"
nationality,"['british woman', 'french woman']"
nationality,"['british woman', 'norwegian woman']"
nationality,"['british woman', 'cuban woman']"
nationality,"['british woman', 'dominican woman']"
nationality,"['british woman', 'salvadoran woman']"
nationality,"['british woman', 'thai woman']"
nationality,"['british woman', 'german woman']"
nationality,"['british woman', 'syrian woman']"
nationality,"['british woman', 'middle eastern woman']"
nationality,"['british woman', 'mississippian woman']"
nationality,"['british woman', 'native american woman']"
nationality,"['british woman', 'kenyan woman']"
nationality,"['british woman', 'japanese woman']"
nationality,"['british woman', 'italian woman']"
nationality,"['british woman', 'iraqi woman']"
nationality,"['british woman', 'greek woman']"
nationality,"['british woman', 'nigerian woman']"
nationality,"['british woman', 'polish woman']"
nationality,"['british woman', 'russian woman']"
nationality,"['british woman', 'saudi arabian woman']"
nationality,"['british woman', 'european woman']"
nationality,"['british woman', 'eskimo']"
nationality,"['british woman', 'dutch woman']"
nationality,"['british woman', 'colombian woman']"
nationality,"['british woman', 'scottish woman']"
nationality,"['british woman', 'gypsy woman']"
nationality,"['vietnamese woman', 'amish woman']"
nationality,"['vietnamese woman', 'hispanic woman']"
nationality,"['vietnamese woman', 'arab woman']"
nationality,"['vietnamese woman', 'mongolian woman']"
nationality,"['vietnamese woman', 'mexican woman']"
nationality,"['vietnamese woman', 'filipina']"
nationality,"['vietnamese woman', 'korean woman']"
nationality,"['vietnamese woman', 'armenian woman']"
nationality,"['vietnamese woman', 'indian woman']"
nationality,"['vietnamese woman', 'guatemalan woman']"
nationality,"['vietnamese woman', 'australian woman']"
nationality,"['vietnamese woman', 'canadian woman']"
nationality,"['vietnamese woman', 'norse woman']"
nationality,"['vietnamese woman', 'french woman']"
nationality,"['vietnamese woman', 'norwegian woman']"
nationality,"['vietnamese woman', 'cuban woman']"
nationality,"['vietnamese woman', 'dominican woman']"
nationality,"['vietnamese woman', 'salvadoran woman']"
nationality,"['vietnamese woman', 'thai woman']"
nationality,"['vietnamese woman', 'german woman']"
nationality,"['vietnamese woman', 'syrian woman']"
nationality,"['vietnamese woman', 'middle eastern woman']"
nationality,"['vietnamese woman', 'mississippian woman']"
nationality,"['vietnamese woman', 'native american woman']"
nationality,"['vietnamese woman', 'kenyan woman']"
nationality,"['vietnamese woman', 'japanese woman']"
nationality,"['vietnamese woman', 'italian woman']"
nationality,"['vietnamese woman', 'iraqi woman']"
nationality,"['vietnamese woman', 'greek woman']"
nationality,"['vietnamese woman', 'nigerian woman']"
nationality,"['vietnamese woman', 'polish woman']"
nationality,"['vietnamese woman', 'russian woman']"
nationality,"['vietnamese woman', 'saudi arabian woman']"
nationality,"['vietnamese woman', 'european woman']"
nationality,"['vietnamese woman', 'eskimo']"
nationality,"['vietnamese woman', 'dutch woman']"
nationality,"['vietnamese woman', 'colombian woman']"
nationality,"['vietnamese woman', 'scottish woman']"
nationality,"['vietnamese woman', 'gypsy woman']"
nationality,"['amish woman', 'hispanic woman']"
nationality,"['amish woman', 'arab woman']"
nationality,"['amish woman', 'mongolian woman']"
nationality,"['amish woman', 'mexican woman']"
nationality,"['amish woman', 'filipina']"
nationality,"['amish woman', 'korean woman']"
nationality,"['amish woman', 'armenian woman']"
nationality,"['amish woman', 'indian woman']"
nationality,"['amish woman', 'guatemalan woman']"
nationality,"['amish woman', 'australian woman']"
nationality,"['amish woman', 'canadian woman']"
nationality,"['amish woman', 'norse woman']"
nationality,"['amish woman', 'french woman']"
nationality,"['amish woman', 'norwegian woman']"
nationality,"['amish woman', 'cuban woman']"
nationality,"['amish woman', 'dominican woman']"
nationality,"['amish woman', 'salvadoran woman']"
nationality,"['amish woman', 'thai woman']"
nationality,"['amish woman', 'german woman']"
nationality,"['amish woman', 'syrian woman']"
nationality,"['amish woman', 'middle eastern woman']"
nationality,"['amish woman', 'mississippian woman']"
nationality,"['amish woman', 'native american woman']"
nationality,"['amish woman', 'kenyan woman']"
nationality,"['amish woman', 'japanese woman']"
nationality,"['amish woman', 'italian woman']"
nationality,"['amish woman', 'iraqi woman']"
nationality,"['amish woman', 'greek woman']"
nationality,"['amish woman', 'nigerian woman']"
nationality,"['amish woman', 'polish woman']"
nationality,"['amish woman', 'russian woman']"
nationality,"['amish woman', 'saudi arabian woman']"
nationality,"['amish woman', 'european woman']"
nationality,"['amish woman', 'eskimo']"
nationality,"['amish woman', 'dutch woman']"
nationality,"['amish woman', 'colombian woman']"
nationality,"['amish woman', 'scottish woman']"
nationality,"['amish woman', 'gypsy woman']"
nationality,"['hispanic woman', 'arab woman']"
nationality,"['hispanic woman', 'mongolian woman']"
nationality,"['hispanic woman', 'mexican woman']"
nationality,"['hispanic woman', 'filipina']"
nationality,"['hispanic woman', 'korean woman']"
nationality,"['hispanic woman', 'armenian woman']"
nationality,"['hispanic woman', 'indian woman']"
nationality,"['hispanic woman', 'guatemalan woman']"
nationality,"['hispanic woman', 'australian woman']"
nationality,"['hispanic woman', 'canadian woman']"
nationality,"['hispanic woman', 'norse woman']"
nationality,"['hispanic woman', 'french woman']"
nationality,"['hispanic woman', 'norwegian woman']"
nationality,"['hispanic woman', 'cuban woman']"
nationality,"['hispanic woman', 'dominican woman']"
nationality,"['hispanic woman', 'salvadoran woman']"
nationality,"['hispanic woman', 'thai woman']"
nationality,"['hispanic woman', 'german woman']"
nationality,"['hispanic woman', 'syrian woman']"
nationality,"['hispanic woman', 'middle eastern woman']"
nationality,"['hispanic woman', 'mississippian woman']"
nationality,"['hispanic woman', 'native american woman']"
nationality,"['hispanic woman', 'kenyan woman']"
nationality,"['hispanic woman', 'japanese woman']"
nationality,"['hispanic woman', 'italian woman']"
nationality,"['hispanic woman', 'iraqi woman']"
nationality,"['hispanic woman', 'greek woman']"
nationality,"['hispanic woman', 'nigerian woman']"
nationality,"['hispanic woman', 'polish woman']"
nationality,"['hispanic woman', 'russian woman']"
nationality,"['hispanic woman', 'saudi arabian woman']"
nationality,"['hispanic woman', 'european woman']"
nationality,"['hispanic woman', 'eskimo']"
nationality,"['hispanic woman', 'dutch woman']"
nationality,"['hispanic woman', 'colombian woman']"
nationality,"['hispanic woman', 'scottish woman']"
nationality,"['hispanic woman', 'gypsy woman']"
nationality,"['arab woman', 'mongolian woman']"
nationality,"['arab woman', 'mexican woman']"
nationality,"['arab woman', 'filipina']"
nationality,"['arab woman', 'korean woman']"
nationality,"['arab woman', 'armenian woman']"
nationality,"['arab woman', 'indian woman']"
nationality,"['arab woman', 'guatemalan woman']"
nationality,"['arab woman', 'australian woman']"
nationality,"['arab woman', 'canadian woman']"
nationality,"['arab woman', 'norse woman']"
nationality,"['arab woman', 'french woman']"
nationality,"['arab woman', 'norwegian woman']"
nationality,"['arab woman', 'cuban woman']"
nationality,"['arab woman', 'dominican woman']"
nationality,"['arab woman', 'salvadoran woman']"
nationality,"['arab woman', 'thai woman']"
nationality,"['arab woman', 'german woman']"
nationality,"['arab woman', 'syrian woman']"
nationality,"['arab woman', 'middle eastern woman']"
nationality,"['arab woman', 'mississippian woman']"
nationality,"['arab woman', 'native american woman']"
nationality,"['arab woman', 'kenyan woman']"
nationality,"['arab woman', 'japanese woman']"
nationality,"['arab woman', 'italian woman']"
nationality,"['arab woman', 'iraqi woman']"
nationality,"['arab woman', 'greek woman']"
nationality,"['arab woman', 'nigerian woman']"
nationality,"['arab woman', 'polish woman']"
nationality,"['arab woman', 'russian woman']"
nationality,"['arab woman', 'saudi arabian woman']"
nationality,"['arab woman', 'european woman']"
nationality,"['arab woman', 'eskimo']"
nationality,"['arab woman', 'dutch woman']"
nationality,"['arab woman', 'colombian woman']"
nationality,"['arab woman', 'scottish woman']"
nationality,"['arab woman', 'gypsy woman']"
nationality,"['mongolian woman', 'mexican woman']"
nationality,"['mongolian woman', 'filipina']"
nationality,"['mongolian woman', 'korean woman']"
nationality,"['mongolian woman', 'armenian woman']"
nationality,"['mongolian woman', 'indian woman']"
nationality,"['mongolian woman', 'guatemalan woman']"
nationality,"['mongolian woman', 'australian woman']"
nationality,"['mongolian woman', 'canadian woman']"
nationality,"['mongolian woman', 'norse woman']"
nationality,"['mongolian woman', 'french woman']"
nationality,"['mongolian woman', 'norwegian woman']"
nationality,"['mongolian woman', 'cuban woman']"
nationality,"['mongolian woman', 'dominican woman']"
nationality,"['mongolian woman', 'salvadoran woman']"
nationality,"['mongolian woman', 'thai woman']"
nationality,"['mongolian woman', 'german woman']"
nationality,"['mongolian woman', 'syrian woman']"
nationality,"['mongolian woman', 'middle eastern woman']"
nationality,"['mongolian woman', 'mississippian woman']"
nationality,"['mongolian woman', 'native american woman']"
nationality,"['mongolian woman', 'kenyan woman']"
nationality,"['mongolian woman', 'japanese woman']"
nationality,"['mongolian woman', 'italian woman']"
nationality,"['mongolian woman', 'iraqi woman']"
nationality,"['mongolian woman', 'greek woman']"
nationality,"['mongolian woman', 'nigerian woman']"
nationality,"['mongolian woman', 'polish woman']"
nationality,"['mongolian woman', 'russian woman']"
nationality,"['mongolian woman', 'saudi arabian woman']"
nationality,"['mongolian woman', 'european woman']"
nationality,"['mongolian woman', 'eskimo']"
nationality,"['mongolian woman', 'dutch woman']"
nationality,"['mongolian woman', 'colombian woman']"
nationality,"['mongolian woman', 'scottish woman']"
nationality,"['mongolian woman', 'gypsy woman']"
nationality,"['mexican woman', 'filipina']"
nationality,"['mexican woman', 'korean woman']"
nationality,"['mexican woman', 'armenian woman']"
nationality,"['mexican woman', 'indian woman']"
nationality,"['mexican woman', 'guatemalan woman']"
nationality,"['mexican woman', 'australian woman']"
nationality,"['mexican woman', 'canadian woman']"
nationality,"['mexican woman', 'norse woman']"
nationality,"['mexican woman', 'french woman']"
nationality,"['mexican woman', 'norwegian woman']"
nationality,"['mexican woman', 'cuban woman']"
nationality,"['mexican woman', 'dominican woman']"
nationality,"['mexican woman', 'salvadoran woman']"
nationality,"['mexican woman', 'thai woman']"
nationality,"['mexican woman', 'german woman']"
nationality,"['mexican woman', 'syrian woman']"
nationality,"['mexican woman', 'middle eastern woman']"
nationality,"['mexican woman', 'mississippian woman']"
nationality,"['mexican woman', 'native american woman']"
nationality,"['mexican woman', 'kenyan woman']"
nationality,"['mexican woman', 'japanese woman']"
nationality,"['mexican woman', 'italian woman']"
nationality,"['mexican woman', 'iraqi woman']"
nationality,"['mexican woman', 'greek woman']"
nationality,"['mexican woman', 'nigerian woman']"
nationality,"['mexican woman', 'polish woman']"
nationality,"['mexican woman', 'russian woman']"
nationality,"['mexican woman', 'saudi arabian woman']"
nationality,"['mexican woman', 'european woman']"
nationality,"['mexican woman', 'eskimo']"
nationality,"['mexican woman', 'dutch woman']"
nationality,"['mexican woman', 'colombian woman']"
nationality,"['mexican woman', 'scottish woman']"
nationality,"['mexican woman', 'gypsy woman']"
nationality,"['filipina', 'korean woman']"
nationality,"['filipina', 'armenian woman']"
nationality,"['filipina', 'indian woman']"
nationality,"['filipina', 'guatemalan woman']"
nationality,"['filipina', 'australian woman']"
nationality,"['filipina', 'canadian woman']"
nationality,"['filipina', 'norse woman']"
nationality,"['filipina', 'french woman']"
nationality,"['filipina', 'norwegian woman']"
nationality,"['filipina', 'cuban woman']"
nationality,"['filipina', 'dominican woman']"
nationality,"['filipina', 'salvadoran woman']"
nationality,"['filipina', 'thai woman']"
nationality,"['filipina', 'german woman']"
nationality,"['filipina', 'syrian woman']"
nationality,"['filipina', 'middle eastern woman']"
nationality,"['filipina', 'mississippian woman']"
nationality,"['filipina', 'native american woman']"
nationality,"['filipina', 'kenyan woman']"
nationality,"['filipina', 'japanese woman']"
nationality,"['filipina', 'italian woman']"
nationality,"['filipina', 'iraqi woman']"
nationality,"['filipina', 'greek woman']"
nationality,"['filipina', 'nigerian woman']"
nationality,"['filipina', 'polish woman']"
nationality,"['filipina', 'russian woman']"
nationality,"['filipina', 'saudi arabian woman']"
nationality,"['filipina', 'european woman']"
nationality,"['filipina', 'eskimo']"
nationality,"['filipina', 'dutch woman']"
nationality,"['filipina', 'colombian woman']"
nationality,"['filipina', 'scottish woman']"
nationality,"['filipina', 'gypsy woman']"
nationality,"['korean woman', 'armenian woman']"
nationality,"['korean woman', 'indian woman']"
nationality,"['korean woman', 'guatemalan woman']"
nationality,"['korean woman', 'australian woman']"
nationality,"['korean woman', 'canadian woman']"
nationality,"['korean woman', 'norse woman']"
nationality,"['korean woman', 'french woman']"
nationality,"['korean woman', 'norwegian woman']"
nationality,"['korean woman', 'cuban woman']"
nationality,"['korean woman', 'dominican woman']"
nationality,"['korean woman', 'salvadoran woman']"
nationality,"['korean woman', 'thai woman']"
nationality,"['korean woman', 'german woman']"
